date,off_impact,on_impact,weekend_impact,building_name
2024-05-11,65.41443735646686,34.58556264353312,34.58556264353312,DU_1
2024-05-13,74.84214417329541,25.1578558267046,,DU_1
2024-05-14,74.29286739299988,25.707132607000105,,DU_1
2024-05-16,48.96973970504154,51.03026029495845,,DU_1
2024-05-17,81.90948647111821,18.090513528881797,,DU_1
2024-05-18,55.2984203202912,44.70157967970879,44.70157967970879,DU_1
2024-05-19,66.64136972957814,33.358630270421855,33.358630270421855,DU_1
2024-05-20,91.48115973407089,8.51884026592914,,DU_1
2024-05-22,57.82816298372676,42.171837016273244,,DU_1
2024-05-23,74.4660954543576,25.533904545642404,,DU_1
2024-05-24,91.7261972941085,8.273802705891493,,DU_1
2024-05-25,57.87548058177413,42.12451941822588,42.12451941822588,DU_1
2024-05-27,63.70182241464869,36.29817758535132,,DU_1
